,statement,1,2,3,4,5,6,7,8,score
0,--1-1=-0,-,-,1,-,1,=,-,0,4
1,--2-2=-0,-,-,2,-,2,=,-,0,4
2,--3-3=-0,-,-,3,-,3,=,-,0,4
3,--4-4=-0,-,-,4,-,4,=,-,0,4
4,--5-5=-0,-,-,5,-,5,=,-,0,4
5,--6-6=-0,-,-,6,-,6,=,-,0,4
6,--7-7=-0,-,-,7,-,7,=,-,0,4
7,--8-8=-0,-,-,8,-,8,=,-,0,4
8,--9-9=-0,-,-,9,-,9,=,-,0,4
9,0-10=-10,0,-,1,0,=,-,1,0,4
10,0-11=-11,0,-,1,1,=,-,1,1,4
11,0-12=-12,0,-,1,2,=,-,1,2,5
12,0-13=-13,0,-,1,3,=,-,1,3,5
13,0-14=-14,0,-,1,4,=,-,1,4,5
14,0-15=-15,0,-,1,5,=,-,1,5,5
15,0-16=-16,0,-,1,6,=,-,1,6,5
16,0-17=-17,0,-,1,7,=,-,1,7,5
17,0-18=-18,0,-,1,8,=,-,1,8,5
18,0-19=-19,0,-,1,9,=,-,1,9,5
19,0-20=-20,0,-,2,0,=,-,2,0,4
20,0-21=-21,0,-,2,1,=,-,2,1,5
21,0-22=-22,0,-,2,2,=,-,2,2,4
22,0-23=-23,0,-,2,3,=,-,2,3,5
23,0-24=-24,0,-,2,4,=,-,2,4,5
24,0-25=-25,0,-,2,5,=,-,2,5,5
25,0-26=-26,0,-,2,6,=,-,2,6,5
26,0-27=-27,0,-,2,7,=,-,2,7,5
27,0-28=-28,0,-,2,8,=,-,2,8,5
28,0-29=-29,0,-,2,9,=,-,2,9,5
29,0-30=-30,0,-,3,0,=,-,3,0,4
30,0-31=-31,0,-,3,1,=,-,3,1,5
31,0-32=-32,0,-,3,2,=,-,3,2,5
32,0-33=-33,0,-,3,3,=,-,3,3,4
33,0-34=-34,0,-,3,4,=,-,3,4,5
34,0-35=-35,0,-,3,5,=,-,3,5,5
35,0-36=-36,0,-,3,6,=,-,3,6,5
36,0-37=-37,0,-,3,7,=,-,3,7,5
37,0-38=-38,0,-,3,8,=,-,3,8,5
38,0-39=-39,0,-,3,9,=,-,3,9,5
39,0-40=-40,0,-,4,0,=,-,4,0,4
40,0-41=-41,0,-,4,1,=,-,4,1,5
41,0-42=-42,0,-,4,2,=,-,4,2,5
42,0-43=-43,0,-,4,3,=,-,4,3,5
43,0-44=-44,0,-,4,4,=,-,4,4,4
44,0-45=-45,0,-,4,5,=,-,4,5,5
45,0-46=-46,0,-,4,6,=,-,4,6,5
46,0-47=-47,0,-,4,7,=,-,4,7,5
47,0-48=-48,0,-,4,8,=,-,4,8,5
48,0-49=-49,0,-,4,9,=,-,4,9,5
49,0-50=-50,0,-,5,0,=,-,5,0,4
50,0-51=-51,0,-,5,1,=,-,5,1,5
51,0-52=-52,0,-,5,2,=,-,5,2,5
52,0-53=-53,0,-,5,3,=,-,5,3,5
53,0-54=-54,0,-,5,4,=,-,5,4,5
54,0-55=-55,0,-,5,5,=,-,5,5,4
55,0-56=-56,0,-,5,6,=,-,5,6,5
56,0-57=-57,0,-,5,7,=,-,5,7,5
57,0-58=-58,0,-,5,8,=,-,5,8,5
58,0-59=-59,0,-,5,9,=,-,5,9,5
59,0-60=-60,0,-,6,0,=,-,6,0,4
60,0-61=-61,0,-,6,1,=,-,6,1,5
61,0-62=-62,0,-,6,2,=,-,6,2,5
62,0-63=-63,0,-,6,3,=,-,6,3,5
63,0-64=-64,0,-,6,4,=,-,6,4,5
64,0-65=-65,0,-,6,5,=,-,6,5,5
65,0-66=-66,0,-,6,6,=,-,6,6,4
66,0-67=-67,0,-,6,7,=,-,6,7,5
67,0-68=-68,0,-,6,8,=,-,6,8,5
68,0-69=-69,0,-,6,9,=,-,6,9,5
69,0-70=-70,0,-,7,0,=,-,7,0,4
70,0-71=-71,0,-,7,1,=,-,7,1,5
71,0-72=-72,0,-,7,2,=,-,7,2,5
72,0-73=-73,0,-,7,3,=,-,7,3,5
73,0-74=-74,0,-,7,4,=,-,7,4,5
74,0-75=-75,0,-,7,5,=,-,7,5,5
75,0-76=-76,0,-,7,6,=,-,7,6,5
76,0-77=-77,0,-,7,7,=,-,7,7,4
77,0-78=-78,0,-,7,8,=,-,7,8,5
78,0-79=-79,0,-,7,9,=,-,7,9,5
79,0-80=-80,0,-,8,0,=,-,8,0,4
80,0-81=-81,0,-,8,1,=,-,8,1,5
81,0-82=-82,0,-,8,2,=,-,8,2,5
82,0-83=-83,0,-,8,3,=,-,8,3,5
83,0-84=-84,0,-,8,4,=,-,8,4,5
84,0-85=-85,0,-,8,5,=,-,8,5,5
85,0-86=-86,0,-,8,6,=,-,8,6,5
86,0-87=-87,0,-,8,7,=,-,8,7,5
87,0-88=-88,0,-,8,8,=,-,8,8,4
88,0-89=-89,0,-,8,9,=,-,8,9,5
89,0-90=-90,0,-,9,0,=,-,9,0,4
90,0-91=-91,0,-,9,1,=,-,9,1,5
91,0-92=-92,0,-,9,2,=,-,9,2,5
92,0-93=-93,0,-,9,3,=,-,9,3,5
93,0-94=-94,0,-,9,4,=,-,9,4,5
94,0-95=-95,0,-,9,5,=,-,9,5,5
95,0-96=-96,0,-,9,6,=,-,9,6,5
96,0-97=-97,0,-,9,7,=,-,9,7,5
97,0-98=-98,0,-,9,8,=,-,9,8,5
98,0-99=-99,0,-,9,9,=,-,9,9,4
99,--1-2=-1,-,-,1,-,2,=,-,1,4
100,--2-3=-1,-,-,2,-,3,=,-,1,5
101,--3-4=-1,-,-,3,-,4,=,-,1,5
102,--4-5=-1,-,-,4,-,5,=,-,1,5
103,--5-6=-1,-,-,5,-,6,=,-,1,5
104,--6-7=-1,-,-,6,-,7,=,-,1,5
105,--7-8=-1,-,-,7,-,8,=,-,1,5
106,--8-9=-1,-,-,8,-,9,=,-,1,5
107,-10+9=-1,-,1,0,+,9,=,-,1,6
108,1-11=-10,1,-,1,1,=,-,1,0,4
109,1-12=-11,1,-,1,2,=,-,1,1,4
110,1-13=-12,1,-,1,3,=,-,1,2,5
111,1-14=-13,1,-,1,4,=,-,1,3,5
112,1-15=-14,1,-,1,5,=,-,1,4,5
113,1-16=-15,1,-,1,6,=,-,1,5,5
114,1-17=-16,1,-,1,7,=,-,1,6,5
115,1-18=-17,1,-,1,8,=,-,1,7,5
116,1-19=-18,1,-,1,9,=,-,1,8,5
117,1-20=-19,1,-,2,0,=,-,1,9,6
118,1-21=-20,1,-,2,1,=,-,2,0,5
119,1-22=-21,1,-,2,2,=,-,2,1,4
120,1-23=-22,1,-,2,3,=,-,2,2,5
121,1-24=-23,1,-,2,4,=,-,2,3,6
122,1-25=-24,1,-,2,5,=,-,2,4,6
123,1-26=-25,1,-,2,6,=,-,2,5,6
124,1-27=-26,1,-,2,7,=,-,2,6,6
125,1-28=-27,1,-,2,8,=,-,2,7,6
126,1-29=-28,1,-,2,9,=,-,2,8,6
127,1-30=-29,1,-,3,0,=,-,2,9,7
128,1-31=-30,1,-,3,1,=,-,3,0,5
129,1-32=-31,1,-,3,2,=,-,3,1,5
130,1-33=-32,1,-,3,3,=,-,3,2,5
131,1-34=-33,1,-,3,4,=,-,3,3,5
132,1-35=-34,1,-,3,5,=,-,3,4,6
133,1-36=-35,1,-,3,6,=,-,3,5,6
134,1-37=-36,1,-,3,7,=,-,3,6,6
135,1-38=-37,1,-,3,8,=,-,3,7,6
136,1-39=-38,1,-,3,9,=,-,3,8,6
137,1-40=-39,1,-,4,0,=,-,3,9,7
138,1-41=-40,1,-,4,1,=,-,4,0,5
139,1-42=-41,1,-,4,2,=,-,4,1,5
140,1-43=-42,1,-,4,3,=,-,4,2,6
141,1-44=-43,1,-,4,4,=,-,4,3,5
142,1-45=-44,1,-,4,5,=,-,4,4,5
143,1-46=-45,1,-,4,6,=,-,4,5,6
144,1-47=-46,1,-,4,7,=,-,4,6,6
145,1-48=-47,1,-,4,8,=,-,4,7,6
146,1-49=-48,1,-,4,9,=,-,4,8,6
147,1-50=-49,1,-,5,0,=,-,4,9,7
148,1-51=-50,1,-,5,1,=,-,5,0,5
149,1-52=-51,1,-,5,2,=,-,5,1,5
150,1-53=-52,1,-,5,3,=,-,5,2,6
151,1-54=-53,1,-,5,4,=,-,5,3,6
152,1-55=-54,1,-,5,5,=,-,5,4,5
153,1-56=-55,1,-,5,6,=,-,5,5,5
154,1-57=-56,1,-,5,7,=,-,5,6,6
155,1-58=-57,1,-,5,8,=,-,5,7,6
156,1-59=-58,1,-,5,9,=,-,5,8,6
157,1-60=-59,1,-,6,0,=,-,5,9,7
158,1-61=-60,1,-,6,1,=,-,6,0,5
159,1-62=-61,1,-,6,2,=,-,6,1,5
160,1-63=-62,1,-,6,3,=,-,6,2,6
161,1-64=-63,1,-,6,4,=,-,6,3,6
162,1-65=-64,1,-,6,5,=,-,6,4,6
163,1-66=-65,1,-,6,6,=,-,6,5,5
164,1-67=-66,1,-,6,7,=,-,6,6,5
165,1-68=-67,1,-,6,8,=,-,6,7,6
166,1-69=-68,1,-,6,9,=,-,6,8,6
167,1-70=-69,1,-,7,0,=,-,6,9,7
168,1-71=-70,1,-,7,1,=,-,7,0,5
169,1-72=-71,1,-,7,2,=,-,7,1,5
170,1-73=-72,1,-,7,3,=,-,7,2,6
171,1-74=-73,1,-,7,4,=,-,7,3,6
172,1-75=-74,1,-,7,5,=,-,7,4,6
173,1-76=-75,1,-,7,6,=,-,7,5,6
174,1-77=-76,1,-,7,7,=,-,7,6,5
175,1-78=-77,1,-,7,8,=,-,7,7,5
176,1-79=-78,1,-,7,9,=,-,7,8,6
177,1-80=-79,1,-,8,0,=,-,7,9,7
178,1-81=-80,1,-,8,1,=,-,8,0,5
179,1-82=-81,1,-,8,2,=,-,8,1,5
180,1-83=-82,1,-,8,3,=,-,8,2,6
181,1-84=-83,1,-,8,4,=,-,8,3,6
182,1-85=-84,1,-,8,5,=,-,8,4,6
